SN,PACS_CODE,PACS_NAME,MILL_CODE,MILL_NAME,Distance
1,S1010101,INKARBANDHA,M010101,KRISHNA PADDY ,14.9
2,S1010101,INKARBANDHA,M010401,BABA GANGARAM,21.4
3,S1010101,INKARBANDHA,M010201,MAA MAHESWARI RICE MILL,98.8
4,S1010101,INKARBANDHA,M010302,SARALIA FOODS PVT. LTD,18.9
5,S1010101,INKARBANDHA,M010301,SAI HITECH RICE INDUSTRY,22.6
6,S1010101,INKARBANDHA,M010402,MAA BHAIRABI INDUSTRIES LLP,20.7
7,S1010101,INKARBANDHA,M010303,TULSHI RICETECH PRIVATE LIMITED,19.8
8,S1010102,BENTAPUR,M010101,KRISHNA PADDY ,12.7
9,S1010102,BENTAPUR,M010402,MAA BHAIRABI INDUSTRIES LLP,15.3
10,S1010102,BENTAPUR,M010201,MAA MAHESWARI RICE MILL,98
11,S1010102,BENTAPUR,M010401,BABA GANGARAM,16.1
12,S1010102,BENTAPUR,M010301,SAI HITECH RICE INDUSTRY,21.8
13,S1010102,BENTAPUR,M010303,TULSHI RICETECH PRIVATE LIMITED,9.6
14,S1010102,BENTAPUR,M010302,SARALIA FOODS PVT. LTD,13.5
15,S1010103,RANTALEI,M010301,SAI HITECH RICE INDUSTRY,9.2
16,S1010103,RANTALEI,M010303,TULSHI RICETECH PRIVATE LIMITED,20.6
17,S1010103,RANTALEI,M010302,SARALIA FOODS PVT. LTD,8.2
18,S1010103,RANTALEI,M010402,MAA BHAIRABI INDUSTRIES LLP,10.1
19,S1010103,RANTALEI,M010201,MAA MAHESWARI RICE MILL,85.4
20,S1010103,RANTALEI,M010101,KRISHNA PADDY ,1.7
21,S1010103,RANTALEI,M010401,BABA GANGARAM,10.8
22,S1010104,BADAKERA,M010101,KRISHNA PADDY ,6.8
23,S1010104,BADAKERA,M010301,SAI HITECH RICE INDUSTRY,5
24,S1010104,BADAKERA,M010302,SARALIA FOODS PVT. LTD,10.4
25,S1010104,BADAKERA,M010201,MAA MAHESWARI RICE MILL,81.1
26,S1010104,BADAKERA,M010401,BABA GANGARAM,13
27,S1010104,BADAKERA,M010303,TULSHI RICETECH PRIVATE LIMITED,25.7
28,S1010104,BADAKERA,M010402,MAA BHAIRABI INDUSTRIES LLP,12.3
29,S1010105,KHALGAON,M010303,TULSHI RICETECH PRIVATE LIMITED,31.1
30,S1010105,KHALGAON,M010301,SAI HITECH RICE INDUSTRY,16.8
31,S1010105,KHALGAON,M010401,BABA GANGARAM,24.8
32,S1010105,KHALGAON,M010402,MAA BHAIRABI INDUSTRIES LLP,24.1
33,S1010105,KHALGAON,M010201,MAA MAHESWARI RICE MILL,93
34,S1010105,KHALGAON,M010101,KRISHNA PADDY ,15.7
35,S1010105,KHALGAON,M010302,SARALIA FOODS PVT. LTD,22.3
36,S1010106,KUMURISINGHA,M010101,KRISHNA PADDY ,9.7
37,S1010106,KUMURISINGHA,M010302,SARALIA FOODS PVT. LTD,14.8
38,S1010106,KUMURISINGHA,M010402,MAA BHAIRABI INDUSTRIES LLP,16.6
39,S1010106,KUMURISINGHA,M010401,BABA GANGARAM,17.3
40,S1010106,KUMURISINGHA,M010303,TULSHI RICETECH PRIVATE LIMITED,22.2
41,S1010106,KUMURISINGHA,M010201,MAA MAHESWARI RICE MILL,93.6
42,S1010106,KUMURISINGHA,M010301,SAI HITECH RICE INDUSTRY,17.4
43,S1010107,GADATARAS,M010401,BABA GANGARAM,30.5
44,S1010107,GADATARAS,M010303,TULSHI RICETECH PRIVATE LIMITED,36.8
45,S1010107,GADATARAS,M010201,MAA MAHESWARI RICE MILL,98.7
46,S1010107,GADATARAS,M010301,SAI HITECH RICE INDUSTRY,22.5
47,S1010107,GADATARAS,M010302,SARALIA FOODS PVT. LTD,28
48,S1010107,GADATARAS,M010402,MAA BHAIRABI INDUSTRIES LLP,29.8
49,S1010107,GADATARAS,M010101,KRISHNA PADDY ,21.4
50,S1010108,KHINDA,M010302,SARALIA FOODS PVT. LTD,25.7
51,S1010108,KHINDA,M010402,MAA BHAIRABI INDUSTRIES LLP,27.5
52,S1010108,KHINDA,M010201,MAA MAHESWARI RICE MILL,96.4
53,S1010108,KHINDA,M010301,SAI HITECH RICE INDUSTRY,20.2
54,S1010108,KHINDA,M010101,KRISHNA PADDY ,19.1
55,S1010108,KHINDA,M010401,BABA GANGARAM,28.2
56,S1010108,KHINDA,M010303,TULSHI RICETECH PRIVATE LIMITED,34.6
57,S1010109,BADAKANTHKUL,M010101,KRISHNA PADDY ,24
58,S1010109,BADAKANTHKUL,M010302,SARALIA FOODS PVT. LTD,30.6
59,S1010109,BADAKANTHKUL,M010401,BABA GANGARAM,33.1
60,S1010109,BADAKANTHKUL,M010301,SAI HITECH RICE INDUSTRY,25.1
61,S1010109,BADAKANTHKUL,M010303,TULSHI RICETECH PRIVATE LIMITED,32.6
62,S1010109,BADAKANTHKUL,M010201,MAA MAHESWARI RICE MILL,101
63,S1010109,BADAKANTHKUL,M010402,MAA BHAIRABI INDUSTRIES LLP,32.4
64,S1010110,JAGANNATHPUR,M010101,KRISHNA PADDY ,32.3
65,S1010110,JAGANNATHPUR,M010301,SAI HITECH RICE INDUSTRY,30.5
66,S1010110,JAGANNATHPUR,M010303,TULSHI RICETECH PRIVATE LIMITED,51.8
67,S1010110,JAGANNATHPUR,M010302,SARALIA FOODS PVT. LTD,36
68,S1010110,JAGANNATHPUR,M010401,BABA GANGARAM,38.5
69,S1010110,JAGANNATHPUR,M010201,MAA MAHESWARI RICE MILL,71.5
70,S1010110,JAGANNATHPUR,M010402,MAA BHAIRABI INDUSTRIES LLP,37.8
71,S1010111,TAINSI,M010401,BABA GANGARAM,39.3
72,S1010111,TAINSI,M010302,SARALIA FOODS PVT. LTD,42.6
73,S1010111,TAINSI,M010101,KRISHNA PADDY ,39
74,S1010111,TAINSI,M010402,MAA BHAIRABI INDUSTRIES LLP,40
75,S1010111,TAINSI,M010303,TULSHI RICETECH PRIVATE LIMITED,61
76,S1010111,TAINSI,M010301,SAI HITECH RICE INDUSTRY,28.1
77,S1010111,TAINSI,M010201,MAA MAHESWARI RICE MILL,62.4
78,S1010112,POKTUNGA,M010301,SAI HITECH RICE INDUSTRY,14.6
79,S1010112,POKTUNGA,M010201,MAA MAHESWARI RICE MILL,90.1
80,S1010112,POKTUNGA,M010401,BABA GANGARAM,22.6
81,S1010112,POKTUNGA,M010402,MAA BHAIRABI INDUSTRIES LLP,21.9
82,S1010112,POKTUNGA,M010302,SARALIA FOODS PVT. LTD,20.1
83,S1010112,POKTUNGA,M010101,KRISHNA PADDY ,16.4
84,S1010112,POKTUNGA,M010303,TULSHI RICETECH PRIVATE LIMITED,33.3
85,S1010113,BEDASASAN,M010402,MAA BHAIRABI INDUSTRIES LLP,27.3
86,S1010113,BEDASASAN,M010301,SAI HITECH RICE INDUSTRY,20
87,S1010113,BEDASASAN,M010302,SARALIA FOODS PVT. LTD,25.5
88,S1010113,BEDASASAN,M010303,TULSHI RICETECH PRIVATE LIMITED,23.4
89,S1010113,BEDASASAN,M010401,BABA GANGARAM,28
90,S1010113,BEDASASAN,M010101,KRISHNA PADDY ,18.9
91,S1010113,BEDASASAN,M010201,MAA MAHESWARI RICE MILL,96.2
92,S1010114,KARAMANGASAHI,M010401,BABA GANGARAM,15.8
93,S1010114,KARAMANGASAHI,M010302,SARALIA FOODS PVT. LTD,13.3
94,S1010114,KARAMANGASAHI,M010101,KRISHNA PADDY ,9.6
95,S1010114,KARAMANGASAHI,M010301,SAI HITECH RICE INDUSTRY,7.8
96,S1010114,KARAMANGASAHI,M010303,TULSHI RICETECH PRIVATE LIMITED,28.5
97,S1010114,KARAMANGASAHI,M010402,MAA BHAIRABI INDUSTRIES LLP,15.1
98,S1010114,KARAMANGASAHI,M010201,MAA MAHESWARI RICE MILL,84
99,S1010115,KHALARI,M010303,TULSHI RICETECH PRIVATE LIMITED,12.9
100,S1010115,KHALARI,M010201,MAA MAHESWARI RICE MILL,93.1
101,S1010115,KHALARI,M010401,BABA GANGARAM,12.9
102,S1010115,KHALARI,M010302,SARALIA FOODS PVT. LTD,10.4
103,S1010115,KHALARI,M010101,KRISHNA PADDY ,7.7
104,S1010115,KHALARI,M010402,MAA BHAIRABI INDUSTRIES LLP,12.2
105,S1010115,KHALARI,M010301,SAI HITECH RICE INDUSTRY,16.9
